Daniel Day-Lewis	trusted:37,adept:25,skeptical:28,caring:38,questioning:44,qualified:41,crafting:31,producing:36,educated:36,predetermined:41,playing:47,teaching:33,helping:40,hardened:39,listening:31,trained:46,accomplished:31,playing:33,training:43,shocking:36,amortized:37,dependable:41,athletic:36,successful:37,reigning:47,leasing:35,leasing:31,inspired:39,inspired:36,observant:42,supportive:40,intrepid:45,hardworking:42,speaking:31,selling:36,playing:37,playing:36,playing:35,educated:40,stuffed:40,inspired:43,inspired:40,playing:39,inspired:44,dashing:41,distinguished:46,distinguished:44,distinguished:42,respected:48,entertaining:38,trusted:48,counseling:42,trusted:46,trusted:45,trusted:44,trusted:43,trusted:42,respected:47,respected:46,accountable:25,entertaining:45,playing:42,humming:35,commanding:41,accredited:37,playing:49,strict:38,earthy:28,artistic:43,artistic:40,entertaining:43,entertaining:42,entertaining:40,dashing:44,dashing:45,dashing:46,visual:28,respected:38,informed:41,trusted:33,trusted:36,informed:44,accomplished:35,macho:41,winning:33,singing:42,accomplished:39,trusted:47,unbiased:36,clever:46,entertaining:35,celebrated:45,respected:45,respected:44,trusted:41,admired:44,accomplished:42,famous:40,accomplished:40,accomplished:47,commanding:28,accomplished:48,elected:35,devoted:40,athletic:42,honored:42
Tina Fey	celebrated:44,fixed:41,celebrated:48,onstage:36,credited:35,credited:44
Abraham Lincoln	leasing:35,crusading:48,close:47,accomplished:45,crusading:39,lined:33,elected:41,supportive:40,investigating:40,cruising:42,deified:40,crusading:45
John Wilkes Booth	singing:44,receptive:31,artistic:44,singing:43,ordained:45,trusted:45,singing:37,trusted:43,unbiased:41,feathered:36,celebrated:38,macho:41
Adam Sandler	trained:36,celebrated:44,celebrated:46,celebrated:48,trained:39,merry:43,merry:42,beloved:47,outsourcing:36
Adam Smith	advising:43,advising:40,learned:44,trusted:45,commanding:48,advising:38,scholarly:46,scholarly:40,thinking:33,thoughtful:47,feathered:36
Adam West	celebrated:48,celebrated:44,celebrated:45
The Joker	
Al Bundy	determined:46,heinous:47,heinous:46
Al Capone	convicted:48,commanding:47,commanding:41,convicted:41,commanding:38,convicted:42,convicted:45,revered:45,thieving:35
Eliot Ness	beefy:46
